number,lat,lng,name
15001,51.108004,17.039528,Plac Dominikański (Galeria Dominikańska)
15002,51.09710806,17.03610957,"Dworzec Główny, południe"
15003,51.109782,17.030175,Rynek
15004,51.09975,17.036228,Dworzec Główny 
15005,51.124879,17.045844,Nowowiejska / Jedności Narodowej
15006,51.125276,16.984447,Legnicka / Wejherowska
15007,51.112154,17.060451,Rondo Reagana
15008,51.100862,17.008224,Pereca / Grabiszyńska
15009,51.086689,17.01248,Powstańcow Śląskich / Aleja Hallera
15010,51.094413,16.980911,Grabiszyńska / Aleja Hallera
15011,51.094521,17.020876,Szczęśliwa (Sky Tower)
15012,51.112911,17.00136,Śrubowa / Strzegomska
15013,51.105207,17.053675,Na Grobli (PWr - Geocentrum)
15014,51.126907,16.978759,Lotnicza / Na Ostatnim Groszu
15015,51.095322,17.033388,Dyrekcyjna / Borowska (Wroclavia)
15016,51.088908,17.034051,Kamienna / Borowska (Aquapark)
15017,51.11356205,17.05067396,Wyszyńskiego / Szczytnicka
15018,51.111727,17.06768,Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM)
15019,51.074868,17.032457,Borowska (Uniw. Szpital Kliniczny)
15020,51.121059,16.993088,Legnicka (Park Magnolia)
15021,51.118237,17.028792,Kurkowa / Dubois
15022,51.116612,17.023873,Jagiełły / Dmowskiego 
15023,51.091457,17.017405,Plac Powstańców Śląskich
15024,51.10592,17.075857,Wróblewskiego (ZOO)
15025,51.084239,17.02439,Ślężna / Aleja Wiśniowa
15026,51.103216,16.9461,Trymanda / Mińska
15027,51.109332,17.060511,Janiszewskiego (PWr)
15028,51.107235,17.060715,Norwida / Wyspiańskiego (PWr)
15029,51.120474,17.036641,Plac Świętego Macieja / Trzebnicka
15030,51.099401,16.941016,Mińska / Stanisławowska
15032,51.110274,17.034912,Wita Stwosza / Szewska
15033,51.103354,17.030704,Plac Kościuszki (Renoma)
15034,51.111489,17.020981,Plac Jana Pawła II (Akademia Muzyczna)
15035,51.113871,17.034484,Plac Uniwersytecki (UWr)
15036,51.1124406,16.988554,Fabryczna / Wagonowa
15037,51.104413,17.022536,Plac Legionów
15038,51.101322,17.028528,Świdnicka / Piłsudskiego (Hotel Scandic)
15039,51.1004,17.045083,Kościuszki / Pułaskiego
15040,51.110001,17.047736,Plac Powstańców Warszawy (Muzeum Narodowe)
15041,51.098959,17.051519,Kościuszki / Komuny Paryskiej / Zgodna
15042,51.104571,17.048102,Traugutta / Pułaskiego
15043,51.115354,16.998732,Stacyjna (Dworzec Mikołajów)
15044,51.113703,17.006287,Plac Strzegomski / Poznańska
15045,51.117668,17.007137,Zachodnia / Poznańska
15046,51.117032,17.033499,Drobnera / Dubois
15047,51.121308,17.043077,Poniatowskiego / Oleśnicka
15048,51.122424,17.052013,Nowowiejska / Wyszyńskiego
15049,51.12566,17.050463,Żeromskiego / Daszyńskiego
15050,51.122313,17.047515,Żeromskiego / Kluczborska
15051,51.110662,17.052712,Joliot-Curie (Uwr)
15052,51.115564,17.060704,Sienkiewicza / Piastowska
15053,51.116822,17.051845,Sienkiewicza / Wyszyńskiego
15054,51.110415,17.055591,Plac Grunwaldzki / Polaka
15055,51.10411,17.084711,Wróblewskiego (Teki)
15056,51.094653,17.026775,Komandorska / Sanocka
15057,51.089842,17.028225,Ślężna / Kamienna (Uniw. Ekonomiczny)
15058,51.08451,16.97223,Oporów (pętla tramwajowa)
15059,51.097209,17.013967,Zaporoska / Gajowicka
15060,51.097147,17.056251,Traugutta / Kościuszki
15061,51.119311,17.056784,Nowowiejska / Górnickiego
15062,51.113912,17.067207,Plac Grunwaldzki (DS Ołówek)
15063,51.102117,17.013683,Zaporoska / Grabiszyńska
15064,51.099354,17.000697,Grabiszyńska / Stalowa
15065,51.093426,17.002893,Krucza / Mielecka / Stalowa
15066,51.089315,17.001501,Aleja Hallera / Mielecka
15067,51.095597,17.008045,"Grochowa / Jemiołowa,"
15068,51.099713,17.027905,Powstańców Śląskich (Arkady Wrocławskie)
15069,51.113141,17.012175,Legnicka / Młodych Techników
15070,51.098027,17.006977,Żelazna / Pereca
15072,51.107471,17.033335,Szewska / Kazimierza Wielkiego 
15073,51.122636,16.975708,Na Ostatnim Groszu
15074,51.096659,16.988566,Grabiszyńska / Magazynierska (Corte Verona)
15075,51.117155,17.000368,Legnicka / Zachodnia 
15077,51.104163,17.031115,Fosa Miejska 
15078,51.108288,17.064884,Łukasiewicza / Smoluchowskiego (PWr)
15079,51.110342,17.02601,Kazimierza Wielkiego (Helios)
15080,51.117557,17.040967,Drobnera / Plac Bema
15081,51.147339,17.11452,Krzywoustego - Rynek Psie Pole
15082,51.13699,16.966199,Pilczycka / Kozanowska
15083,51.132259,17.065453,Aleja Kromera
15084,51.145074,16.871502,Leśnica - pętla tramwajowa
15086,51.063834,17.083366,Mościckiego (stacja kolejowa)
15087,51.059458,17.006542,Zwycięska / Ołtaszyńska
15088,51.111874,16.960692,Strzegomska / Estońska
15089,51.07692,17.041439,Świeradowska (Ferio Gaj )
15090,51.0657771,16.98857546,Wałbrzyska - pętla tramwajowa
15091,51.051546,17.059094,Buforowa - Vivaldiego
15092,51.143633,16.950712,Pilczycka (Stadion Miejski)
15093,51.085018,17.049193,Bardzka / Piękna
15094,51.136111,17.036262,Żmigrodzka / Broniewskiego
15095,51.100211,16.951602,Tyrmanda / Trawowa
15096,51.16033211,17.13368297,Zatorska / Królewska - pętla MPK
15097,51.110299,17.117854,Marca Polo (Olimpia Port)
15099,51.17592,16.998482,Waniliowa / Cynamonowa
15100,51.123237,16.924321,Żernicka
15101,51.136786,17.030368,Obornicka / Bałtycka
15103,51.12843,17.0363,Kraszewskiego / Trzebnicka
15104,51.06277,17.0321,Grota-Roweckiego / Parafialna
15105,51.077147,17.046785,Świeradowska / Krynicka
15106,51.14035,17.08494,Krzywoustego / Korona
15107,51.11869,16.95336,Rogowska / Zemska
15108,51.12353,16.95059,Hermanowska / Kołobrzeska
15109,51.0775,16.96396,Solskiego / al. Piastów
15110,51.06404,16.97753,Czekoladowa / Wałbrzyska
15111,51.08015,17.06228,Tarnogajska / Klimasa
15112,51.07748,17.08405,Opolska / pętla tramwajowa
15113,51.10702,16.94971,Graniczna / Strzegomska
15114,51.15013,17.02903,Żmigrodzka / Marino
15115,51.05672,17.02211,Kutrzeby / Hubala
15116,51.0586,17.01411,Zwycięska / Agrestowa
15117,51.061492,16.997511,al. Karkonoska / Jeździecka
15118,51.07708,17.01824,Ślężna / Skierniewicka
15119,51.11059,16.95514,Strzegomska / Rogowska 
15120,51.08149,17.07693,Karwińska / Opolska
15121,51.12695,17.02804,Reymonta / Kleczkowska
15122,51.118899,17.013477,Młodych Techników
15123,51.12599,16.99725,Popowicka / Niedźwiedzia 
15124,51.13258,16.95697,Lotnicza / Metalowców
15125,51.09431,17.01479,Zaporoska / Wielka / Krucza
15126,51.15755,16.92781,Maślicka / Stodolna
15127,51.12658,16.95499,Bystrzycka / Idzikowskiego
15128,51.120068,17.077684,al. Kochanowskiego / Śniadeckich 
15129,51.13198,17.07945,al. Brücknera / Kwidzyńska
15130,51.13252,16.97377,Kozanowska / Pilczycka
15131,51.140713,16.958199,Pilczycka / Koszykarska
15132,51.150227,17.118549,al. Jana III Sobieskiego / stacja kolejowa
15133,51.147082,17.042321,Kamieńskiego / Jutrosińska
15134,51.05927,17.07877,Semaforowa
15135,51.10209,17.10168,Olszewskiego / Spółdzielcza
15136,51.101431,17.108481,"Olszewskiego, pętla tramwajowa"
15137,51.105578,17.111316,Bacciarellego
15138,51.11514,17.07436,al. Kochanowskiego / Kopernika
15139,51.13959,17.03216,Bałtycka / Żmigrodzka
15140,51.14156,17.02587,Bezpieczna / Obornicka
15141,51.125652,16.968627,Drzewieckiego / Dedala
15142,51.072302,17.012384,Ślężna / pętla tramwajowa
15143,51.05909,17.08687,Mościckiego / Chińska 
15144,51.09053,17.06373,Krakowska / Leroy Merlin
15145,51.14128,17.06613,Koszarowa / UWr
15146,51.14905,17.07565,Sołtysowicka / Redycka
