number,tag
15001,education
15002,education
15003,education
15004,transport
15005,other
15006,education
15007,education
15008,other
15009,education
15010,education
15011,other
15012,education
15013,education
15014,education
15015,education
15016,education
15017,other
15018,education
15019,education
15020,other
15021,education
15022,education
15023,other
15024,other
15025,other
15026,shopping
15027,education
15028,education
15029,other
15030,other
15032,education
15033,education
15034,other
15035,education
15036,education
15037,education
15038,education
15039,education
15040,other
15041,other
15042,education
15043,education
15044,education
15045,other
15046,education
15047,education
15048,education
15049,other
15050,education
15051,education
15052,education
15053,education
15054,education
15055,other
15056,other
15057,other
15058,other
15059,other
15060,education
15061,education
15062,education
15063,other
15064,other
15065,education
15066,education
15067,other
15068,shopping
15069,education
15070,other
15072,education
15073,education
15074,other
15075,education
15077,shopping
15078,education
15079,education
15080,education
15081,other
15082,other
15083,other
15084,other
15086,other
15087,other
15088,shopping
15089,other
15090,other
15091,other
15092,other
15093,education
15094,other
15095,other
15096,other
15097,other
15099,other
15100,other
15101,other
15103,other
15104,other
15105,other
15106,shopping
15107,education
15108,other
15109,education
15110,other
15111,other
15112,other
15113,shopping
15114,other
15115,other
15116,other
15117,other
15118,other
15119,education
15120,other
15121,other
15122,education
15123,other
15124,other
15125,other
15126,other
15127,other
15128,other
15129,education
15130,other
15131,other
15132,other
15133,other
15134,other
15135,education
15136,other
15137,education
15138,other
15139,other
15140,other
15141,education
15142,other
15143,other
15144,other
15145,education
15146,education
15147,other
15148,other
15149,other
15150,other
15151,other
15152,education
15153,other
15154,other
15155,other
15156,education
15157,education
15158,education
15159,education
15160,other
15161,other
15162,education
15163,education
15164,other
15165,other
15166,other
15167,education
15168,education
15169,other
15170,other
15171,other
15172,other
15173,other
15174,other
15175,education
15176,education
15177,education
15178,other
15179,other
15180,other
15181,other
15183,education
15184,other
15185,other
15186,other
15187,health
15188,other
15189,other
15190,education
15191,other
15192,other
15193,education
15194,other
15195,education
15196,other
15197,shopping
15198,education
15199,other
15200,other
15251,other
15252,other
15253,shopping
15254,other
15255,other
15256,other
15257,other
15258,education
15259,other
15260,other
15261,education
15262,education
15263,other
15264,other
15265,other
15266,education
15267,education
15268,other
15269,other
15270,other
15271,education
15272,other
15273,other
