number,tag
15003,education
15009,education
15015,education
15020,other
15022,education
15024,other
15027,education
15030,other
15039,education
15040,other
15046,education
15050,education
15051,education
15055,other
15064,other
15067,other
15068,shopping
15074,other
15079,education
15083,other
15088,shopping
15099,other
15107,education
15117,other
15124,other
15135,education
15154,other
15164,other
15178,other
15186,other
15188,other
15190,education
15192,other
15251,other
15260,other
15261,education
15264,other
15270,other
