number,tag,request
15001,education,
15002,education,
15003,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.109782, 17.030175);
                            node['shop'~'mall'](around:400, 51.109782, 17.030175);
                        );
                        out;"
15004,transport,
15005,other,
15006,education,
15007,education,
15008,other,
15009,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.086689, 17.01248);
                            node['shop'~'mall'](around:400, 51.086689, 17.01248);
                        );
                        out;"
15010,education,
15011,other,
15012,education,
15013,education,
15014,education,
15015,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.095322, 17.033388);
                            node['shop'~'mall'](around:400, 51.095322, 17.033388);
                        );
                        out;"
15016,education,
15017,other,
15018,education,
15019,education,
15020,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.121059, 16.993088);
                            node['shop'~'mall'](around:400, 51.121059, 16.993088);
                        );
                        out;"
15021,education,
15022,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.116612, 17.023873);
                            node['shop'~'mall'](around:400, 51.116612, 17.023873);
                        );
                        out;"
15023,other,
15024,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.10592, 17.075857);
                            node['shop'~'mall'](around:400, 51.10592, 17.075857);
                        );
                        out;"
15025,other,
15026,shopping,
15027,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.109332, 17.060511);
                            node['shop'~'mall'](around:400, 51.109332, 17.060511);
                        );
                        out;"
15028,education,
15029,other,
15030,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.099401, 16.941016);
                            node['shop'~'mall'](around:400, 51.099401, 16.941016);
                        );
                        out;"
15032,education,
15033,education,
15034,other,
15035,education,
15036,education,
15037,education,
15038,education,
15039,unknown,"https://overpass-api.de/api/interpreter?data=[out:json]; 
                        (
                            node['amenity'~'school|university|hospital|bus_station|cinema'](around:400, 51.1004, 17.045083);
                            node['shop'~'mall'](around:400, 51.1004, 17.045083);
                        );
                        out;"
